gen	idx	N	D	K_hh	K_iter	alpha_ahebb	alpha_reflect	routing_mode	polarizer_alpha	accuracy	fitness	flops_M	params	best_epoch	elapsed_s	error
3	31	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.945987	1.040586	0.983	67744	18	55.3	
3	32	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.949809	1.044790	0.983	67744	16	52.2	
3	33	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.960764	1.056841	0.983	67744	18	48.1	
3	34	2048	16	2	5	1.0	0.5	standard	0.0	0.918471	1.010318	0.983	67744	20	38.8	
3	35	2048	16	2	5	1.0	0.5	delta_proj	1.0	0.941401	1.035541	0.983	67744	19	52.3	
3	36	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.938854	1.032739	0.983	67744	18	55.4	
3	37	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.943694	1.038064	0.983	67744	18	52.2	
3	38	2048	16	2	5	1.0	0.5	delta_proj	0.5	0.939873	1.033860	0.983	67744	20	52.2	
3	39	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.942930	1.037223	0.983	67744	19	52.3	
3	40	2048	16	2	4	1.0	0.5	standard	0.5	0.898344	0.988178	0.786	67744	18	34.7	
3	41	2048	16	2	5	0.0	0.5	delta_proj	1.0	0.950318	1.045350	0.983	67744	20	48.0	
3	42	2048	16	2	5	1.0	0.0	delta_proj	0.5	0.904204	0.994624	0.983	67744	19	52.2	
3	43	2048	16	2	8	0.0	0.5	delta_proj	1.5	0.960255	1.008268	1.573	67744	20	66.0	
3	44	2048	24	2	5	1.0	0.5	standard	1.0	0.907516	0.952892	1.475	100592	20	53.9	
3	45	2048	20	4	8	1.0	0.5	wpos_proj	1.5	0.957197	0.957197	3.932	84168	18	149.7	
3	46	1024	16	2	6	1.0	0.5	delta_proj	0.5	0.912866	1.004153	0.590	33952	20	35.4	
3	47	2048	16	2	3	0.0	0.0	wpos_proj	1.5	0.938854	1.032739	0.590	67744	20	37.5	
3	48	1024	16	2	5	0.0	0.5	delta_proj	0.0	0.223949	0.246344	0.492	33952	17	29.4	
3	49	2048	16	2	5	1.0	0.5	delta_proj	1.0	0.941911	1.036102	0.983	67744	20	51.9	
4	0	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.956688	1.052357	0.983	67744	20	47.7	
4	1	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.950828	1.045911	0.983	67744	18	46.1	
4	2	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.960764	1.056841	0.983	67744	20	42.5	
4	3	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.951592	1.046752	0.983	67744	16	46.7	
4	4	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.956688	1.052357	0.983	67744	19	42.5	
4	5	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.948790	1.043669	0.983	67744	17	46.7	
4	6	2048	16	2	5	0.0	0.5	delta_proj	1.0	0.955669	1.051236	0.983	67744	18	42.5	
4	7	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.954650	1.050115	0.983	67744	16	46.7	
4	8	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.950573	1.045631	0.983	67744	20	46.7	
4	9	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.949554	1.044510	0.983	67744	18	46.7	
4	10	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.938854	1.032739	0.983	67744	19	49.7	
4	11	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.950064	1.045070	0.983	67744	20	49.7	
4	12	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.941911	1.036102	0.983	67744	18	49.7	
4	13	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.953631	1.048994	0.983	67744	19	46.8	
4	14	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.942166	1.036382	0.983	67744	17	49.7	
4	15	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.944968	1.039465	0.983	67744	17	46.7	
4	16	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.941911	1.036102	0.983	67744	20	49.7	
4	17	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.931210	1.024331	0.983	67744	20	49.7	
4	18	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.950318	1.045350	0.983	67744	18	46.8	
4	19	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.950828	1.045911	0.983	67744	20	46.8	
4	20	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.945223	1.039745	0.983	67744	17	49.7	
4	21	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.949809	1.044790	0.983	67744	19	46.8	
4	22	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.942930	1.037223	0.983	67744	20	49.7	
4	23	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.948025	1.042828	0.983	67744	17	46.7	
4	24	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.949554	1.044510	0.983	67744	16	46.7	
4	25	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.949045	1.043949	0.983	67744	19	46.8	
4	26	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.956433	1.052076	0.983	67744	16	42.5	
4	27	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.958726	1.054599	0.983	67744	20	42.5	
4	28	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.955669	1.051236	0.983	67744	19	42.5	
4	29	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.949045	1.043949	0.983	67744	20	46.7	
4	30	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.948280	1.043108	0.983	67744	20	46.8	
4	31	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.963057	1.059363	0.983	67744	19	42.5	
4	32	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.949809	1.044790	0.983	67744	20	46.7	
4	33	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.951338	1.046471	0.983	67744	18	46.8	
4	34	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.951338	1.046471	0.983	67744	20	46.8	
4	35	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.957962	1.053758	0.983	67744	20	42.5	
4	36	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.946497	1.041147	0.983	67744	20	49.7	
4	37	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.956943	1.052637	0.983	67744	20	42.5	
4	38	2048	16	2	5	1.0	0.5	wpos_proj	1.0	0.932994	1.026293	0.983	67744	20	49.7	
4	39	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.936815	1.030497	0.983	67744	19	49.7	
4	40	4096	16	2	5	1.0	0.5	wpos_proj	1.5	0.954395	1.002115	1.966	135328	20	91.3	
4	41	2048	16	4	5	1.0	0.5	delta_proj	1.5	0.948025	0.995427	1.966	67744	16	67.9	
4	42	2048	16	2	6	0.0	0.5	delta_proj	1.5	0.954904	1.002650	1.180	67744	18	48.2	
4	43	1024	16	2	6	0.0	0.5	delta_proj	1.5	0.938344	1.032178	0.590	33952	18	28.4	
4	44	2048	16	2	5	1.0	0.3	wpos_proj	1.5	0.939363	1.033299	0.983	67744	18	49.7	
4	45	1024	16	4	5	1.0	0.5	delta_proj	1.5	0.934268	1.027694	0.983	33952	20	38.5	
4	46	2048	16	2	5	1.0	0.5	standard	1.5	0.919236	1.011159	0.983	67744	20	34.1	
4	47	2048	16	2	5	0.5	0.5	standard	1.5	0.736815	0.810497	0.983	67744	19	34.0	
4	48	2048	8	3	5	1.0	0.0	delta_proj	1.5	0.929682	1.022650	0.737	34896	20	33.0	
